twitter_content,twitter_like
 ,1
被wall掉的vultr服务器虽然在国内没法用ssh连接成功，但是通过代理服务器作为中转就又能行了,0
 00002,0
 00001,0
胡主编嘲讽拉满,0
用vultr自己配置了一个代理，嘻嘻,1
I can't wait to know what is that,1
"把接近2k个关注都删掉了，关注过多反而被淹没在信息中，大胆点，重新建立时间线和关注列表。
I deleted nearly 2k following. Too much following led to being submerged in the information. Be bold to rebuild the timeline and follow list.",0
"Everything is relative, at least he did not start a hot war like other predecessors in the US presidency",0
 ,0
主人的任务罢了，hhh，笑死我了,1
hhh,0
原来的机场跑路了，今天搞了个SudaCloud+Clash，真香!,0
快了快了，星际世界观副本已经在路上了,1
有克苏鲁那味儿了，我愿称之为《众神存在物质基础的唯物史观之高级文明初探》,0
"Expect future VR games to approach reality like this, as described in the Chinese online novel ""Thriller Park （惊悚乐园）"".",0
It takes time to be perfect。,0
ONLY img(只有图片或者表情),1
 时间过得真快,1
希望中国和塞尔维亚友谊长青,0
Today the whole world is waiting for President Trump to wake up,0
"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties & damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning.",719.6K
Another step of the whole space plan.,1
"1.希望所有国家能互相友好。
",0
"怎么用最快速度把纸质书变成数字文档？

这是一台每分钟扫描 250 页书的专用扫描仪。快速翻页，使用红色激光在纸上标记出参考线，扫描之后按照参考线自动矫正偏差

我小时候的梦想设备之一啊

",943
See you the next year ୧(⁎˃ ◡˂⁎)୨ꔛ♩,0
Congratulations!,0
Grasp of the Undying.,5
祝祖国生日快乐！,1
mark一下 ,0
vscode+youtube+GitHub用来学习简直不要太完美。,2
"Breaking News: China will raise tariffs on U.S. goods, a retaliation for President Trump’s move, but it delayed the increase to allow one last push for a deal",3K
恭喜ig，继续加油，再接再厉٩(•̤̀ᵕ•̤́๑),1
为了信仰充值一波s8冠军皮肤。,1
之前看到同学用了一个app->幕布，然后正好今天海上阅兵，就做了一张思维导图。,2
I love ubisoft !,2
I am ready now!,1
"ig永不加班，3:0!!!
我们是冠军!!!
恭喜ig!恭喜lpl，s8冠军!
等待了7年的冠军!!!
恭喜!
yes!",1
ig nb!,1
"The creativity in internet time is so fascinating，手动3DF[laughing]
",1
汤神带我飞啊！！,1
"不是很想讨论政治，只谈一件事情。
政治退散，政治退散，政治退散。",3
ONLY img(只有图片或者表情),2
遗传和变异——神奇的瞳色。默念：无中生有为隐性……基因突变，基因重组……,1
所以说千里之堤溃于蚁穴讲的并不是努力，讲的是放弃，突然的放弃，突然的无力。,3
Hodor.,7
um..This is my table.,2
Today I went to the library and found it.,1
"Bought by me,yet hardly ever read.Sorry to every you.",1
Today is the first day that I use the twitter(because I am a chinese aging 18).Cheers!(Whether is my English  skill terrible?),1
